iter	Passed	Remaining
0	11	11068
1	28	14224
2	36	12102
3	56	13969
4	63	12586
5	75	12445
6	93	13205
7	110	13641
8	127	13984
9	143	14166
10	158	14289
11	173	14300
12	193	14671
13	210	14826
14	220	14484
15	233	14334
16	242	14015
17	255	13946
18	275	14220
19	283	13869
20	300	14025
21	352	15686
22	364	15477
23	371	15109
24	423	16533
25	443	16611
26	457	16483
27	470	16316
28	481	16127
29	489	15821
30	497	15552
31	514	15552
32	526	15428
33	571	16228
34	613	16922
35	621	16642
36	662	17244
37	703	17812
38	745	18361
39	786	18878
40	829	19407
41	871	19869
42	914	20355
43	956	20788
44	972	20630
45	1023	21231
46	1067	21655
47	1107	21969
48	1114	21632
49	1157	22001
50	1165	21682
51	1222	22286
52	1316	23529
53	1372	24046
54	1417	24347
55	1456	24560
56	1498	24792
57	1540	25016
58	1585	25281
59	1630	25550
60	1679	25858
61	1733	26218
62	1779	26460
63	1824	26687
64	1872	26930
65	1915	27102
66	1955	27226
67	1966	26956
68	2006	27078
69	2017	26799
70	2061	26969
71	2102	27102
72	2144	27238
73	2185	27353
74	2233	27550
75	2275	27659
76	2321	27831
77	2366	27969
78	2411	28108
79	2455	28238
80	2495	28315
81	2538	28424
82	2555	28228
83	2597	28325
84	2637	28394
85	2682	28507
86	2722	28573
87	2762	28632
88	2801	28676
89	2855	28877
90	2899	28967
91	2946	29085
92	2994	29201
93	3040	29306
94	3080	29343
95	3127	29448
96	3176	29573
97	3221	29652
98	3266	29730
99	3313	29819
100	3318	29542
101	3340	29407
102	3382	29460
103	3430	29553
104	3481	29676
105	3487	29411
106	3531	29473
107	3575	29533
108	3618	29579
109	3660	29619
110	3700	29634
111	3744	29690
112	3788	29740
113	3831	29780
114	3875	29823
115	3918	29863
116	3959	29880
117	3997	29880
118	4040	29912
119	4077	29903
120	4115	29898
121	4159	29933
122	4202	29964
123	4246	30000
124	4287	30011
125	4326	30012
126	4333	29791
127	4377	29823
128	4417	29829
129	4428	29636
130	4479	29718
131	4526	29762
132	4569	29787
133	4613	29813
134	4659	29856
135	4704	29888
136	4749	29916
137	4793	29940
138	4839	29978
139	4883	30000
140	4929	30028
141	4971	30039
142	5011	30035
143	5054	30047
144	5096	30049
145	5137	30053
146	5182	30071
147	5222	30065
148	5230	29871
149	5273	29881
150	5319	29906
151	5361	29913
152	5405	29924
153	5418	29764
154	5458	29758
155	5502	29771
156	5542	29762
157	5586	29770
158	5627	29767
159	5669	29764
160	5714	29777
161	5758	29786
162	5772	29639
163	5813	29635
164	5857	29640
165	5868	29486
166	5911	29488
167	5955	29493
168	5999	29501
169	6045	29517
170	6091	29532
171	6134	29533
172	6146	29380
173	6190	29386
174	6232	29383
175	6278	29395
176	6326	29414
177	6371	29423
178	6415	29426
179	6457	29419
180	6498	29406
181	6541	29398
182	6583	29391
183	6626	29388
184	6639	29249
185	6678	29228
186	6719	29213
187	6758	29191
188	6766	29034
189	6807	29021
190	6851	29021
191	6894	29012
192	6936	29004
193	6980	29000
194	7018	28973
195	7070	29001
196	7112	28990
197	7152	28971
198	7196	28965
199	7240	28960
200	7283	28950
201	7328	28951
202	7371	28940
203	7415	28933
204	7458	28923
205	7499	28906
206	7540	28888
207	7549	28746
208	7594	28743
209	7635	28724
210	7677	28709
211	7722	28706
212	7765	28694
213	7809	28682
214	7851	28668
215	7897	28666
216	7943	28662
217	7986	28647
218	8031	28642
219	8037	28495
220	8079	28477
221	8126	28479
222	8181	28505
223	8223	28489
224	8271	28489
225	8320	28495
226	8327	28356
227	8378	28368
228	8422	28358
229	8466	28345
230	8479	28228
231	8523	28214
232	8576	28232
233	8618	28211
234	8661	28194
235	8704	28178
236	8753	28182
237	8802	28181
238	8815	28069
239	8862	28063
240	8909	28058
241	8953	28045
242	8999	28036
243	9042	28018
244	9097	28035
245	9143	28024
246	9187	28008
247	9230	27989
248	9275	27976
249	9316	27949
250	9365	27946
251	9413	27940
252	9425	27828
253	9469	27810
254	9517	27807
255	9560	27785
256	9603	27764
257	9650	27754
258	9696	27742
259	9744	27735
260	9795	27734
261	9837	27709
262	9882	27694
263	9926	27672
264	9970	27652
265	10011	27626
266	10057	27611
267	10102	27594
268	10111	27477
269	10154	27455
270	10166	27348
271	10209	27325
272	10254	27308
273	10297	27284
274	10340	27261
275	10381	27233
276	10424	27209
277	10469	27190
278	10512	27165
279	10557	27148
280	10602	27129
281	10648	27110
282	10692	27090
283	10735	27064
284	10783	27053
285	10793	26946
286	10834	26917
287	10879	26896
288	10926	26880
289	10971	26861
290	11015	26838
291	11064	26828
292	11108	26804
293	11155	26787
294	11199	26764
295	11239	26731
296	11283	26709
297	11326	26680
298	11341	26590
299	11388	26572
300	11431	26547
301	11473	26517
302	11513	26485
303	11559	26465
304	11605	26444
305	11617	26348
306	11664	26331
307	11709	26308
308	11753	26284
309	11795	26255
310	11837	26224
311	11879	26194
312	11891	26099
313	11932	26069
314	11975	26041
315	12019	26017
316	12070	26006
317	12112	25976
318	12156	25952
319	12201	25927
320	12209	25825
321	12253	25800
322	12298	25777
323	12310	25683
324	12359	25668
325	12405	25648
326	12450	25624
327	12497	25604
328	12543	25582
329	12587	25555
330	12630	25528
331	12672	25498
332	12725	25489
333	12770	25465
334	12819	25448
335	12831	25356
336	12876	25332
337	12922	25310
338	12970	25290
339	13013	25261
340	13068	25255
341	13115	25233
342	13160	25209
343	13207	25187
344	13256	25167
345	13300	25141
346	13343	25110
347	13390	25087
348	13431	25054
349	13481	25037
350	13524	25006
351	13568	24979
352	13616	24957
353	13663	24933
354	13708	24907
355	13754	24882
356	13802	24859
357	13813	24771
358	13861	24749
359	13904	24718
360	13948	24690
361	13997	24668
362	14040	24638
363	14084	24610
364	14130	24582
365	14184	24571
366	14233	24549
367	14280	24524
368	14325	24497
369	14372	24471
370	14431	24467
371	14478	24441
372	14524	24414
373	14569	24386
374	14614	24356
375	14661	24331
376	14707	24304
377	14754	24278
378	14799	24248
379	14842	24216
380	14889	24189
381	14935	24163
382	14978	24130
383	15022	24097
384	15073	24078
385	15116	24046
386	15162	24017
387	15204	23982
388	15250	23953
389	15294	23922
390	15339	23891
391	15385	23862
392	15429	23831
393	15472	23797
394	15519	23769
395	15563	23738
396	15612	23713
397	15656	23681
398	15702	23652
399	15746	23620
400	15791	23588
401	15847	23574
402	15890	23539
403	15935	23509
404	15979	23475
405	16026	23447
406	16077	23425
407	16135	23412
408	16180	23381
409	16225	23349
410	16267	23312
411	16320	23292
412	16367	23263
413	16417	23237
414	16464	23209
415	16515	23184
416	16561	23154
417	16608	23124
418	16655	23095
419	16707	23072
420	16753	23041
421	16797	23006
422	16844	22977
423	16892	22948
424	16941	22921
425	16991	22894
426	17045	22873
427	17095	22846
428	17144	22820
429	17189	22786
430	17237	22756
431	17293	22737
432	17339	22706
433	17393	22683
434	17441	22653
435	17487	22621
436	17534	22590
437	17585	22563
438	17631	22530
439	17677	22498
440	17721	22463
441	17764	22427
442	17813	22397
443	17861	22367
444	17909	22336
445	17961	22311
446	18012	22283
447	18061	22254
448	18106	22219
449	18150	22184
450	18199	22154
451	18240	22114
452	18284	22078
453	18331	22046
454	18379	22015
455	18429	21986
456	18483	21962
457	18527	21925
458	18570	21888
459	18616	21853
460	18658	21816
461	18701	21777
462	18745	21741
463	18801	21718
464	18848	21686
465	18902	21660
466	18946	21624
467	18998	21597
468	19044	21562
469	19094	21532
470	19141	21498
471	19192	21469
472	19242	21439
473	19290	21406
474	19338	21374
475	19389	21344
476	19436	21310
477	19482	21275
478	19530	21243
479	19584	21216
480	19632	21183
481	19677	21147
482	19722	21111
483	19767	21074
484	19812	21038
485	19859	21003
486	19904	20966
487	19955	20937
488	20001	20901
489	20049	20867
490	20095	20831
491	20138	20793
492	20183	20756
493	20226	20718
494	20275	20684
495	20321	20649
496	20371	20617
497	20419	20583
498	20469	20551
499	20514	20514
500	20559	20477
501	20602	20438
502	20644	20398
503	20690	20361
504	20734	20323
505	20777	20285
506	20824	20249
507	20873	20215
508	20920	20180
509	20964	20142
510	21008	20103
511	21054	20067
512	21101	20032
513	21146	19994
514	21188	19954
515	21235	19918
516	21284	19884
517	21333	19851
518	21382	19816
519	21426	19778
520	21469	19738
521	21514	19701
522	21577	19679
523	21629	19648
524	21679	19615
525	21727	19579
526	21771	19541
527	21815	19501
528	21871	19473
529	21918	19437
530	21963	19399
531	22012	19364
532	22056	19325
533	22098	19284
534	22144	19247
535	22193	19211
536	22244	19178
537	22290	19141
538	22336	19103
539	22384	19068
540	22426	19027
541	22476	18993
542	22528	18960
543	22575	18923
544	22625	18889
545	22670	18850
546	22717	18813
547	22763	18775
548	22809	18738
549	22851	18696
550	22900	18661
551	22942	18619
552	22984	18578
553	23024	18536
554	23070	18497
555	23112	18456
556	23161	18420
557	23210	18385
558	23256	18347
559	23308	18313
560	23352	18273
561	23398	18235
562	23446	18198
563	23490	18159
564	23536	18120
565	23580	18080
566	23626	18043
567	23672	18004
568	23720	17967
569	23768	17930
570	23810	17889
571	23857	17851
572	23904	17813
573	23955	17778
574	24002	17740
575	24047	17701
576	24093	17662
577	24140	17624
578	24183	17584
579	24228	17545
580	24275	17506
581	24320	17467
582	24368	17429
583	24412	17390
584	24462	17353
585	24510	17316
586	24558	17278
587	24600	17237
588	24651	17201
589	24702	17165
590	24757	17133
591	24806	17096
592	24856	17060
593	24901	17020
594	24946	16980
595	24988	16938
596	25035	16899
597	25082	16861
598	25125	16819
599	25173	16782
600	25217	16742
601	25263	16702
602	25313	16665
603	25363	16629
604	25407	16588
605	25455	16550
606	25500	16509
607	25546	16470
608	25593	16431
609	25639	16392
610	25687	16354
611	25733	16314
612	25779	16275
613	25827	16236
614	25875	16198
615	25922	16159
616	25964	16117
617	26009	16076
618	26056	16038
619	26107	16001
620	26157	15964
